Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,1,5.5,-9,0,-1.75,0,27285.4986787557
1980,1,2,3,-9.5,0,-3.25,0,30503.920141741302
1980,1,3,3,-13,0,-5,0,29004.08585824079
1980,1,4,9.5,-13,0,-1.75,0,18190.332452503797
1980,1,5,9,-11,0,-1,0,21516.38517025448
1980,1,6,6.5,-7.5,0,-0.5,0,29039.83737725176
1980,1,7,4,-2,0,1,0,48364.91294064184
1980,1,8,5,-3,0,1,0,40924.15710362002
1980,1,9,3.5,-3,5,0.25,0.5,47135.50476669259
1980,1,10,3.5,-1,20,1.25,2,51155.00010414641
1980,1,11,3.5,0,16,1.75,1.6,52874.51767762181
1980,1,12,7,0,6,3.5,0.6,46680.94319863372
1980,1,13,9,0.5,2,4.75,0.2,45603.653723784024
1980,1,14,8,2.5,0,5.25,0,49544.429749001654
1980,1,15,6.5,-3,4,1.75,0.4,42299.614142097445
1980,1,16,7,-4.5,0,1.25,0,40193.21436754361
1980,1,17,7,-4,0,1.5,0,39476.81657313014
1980,1,18,4,-1.5,14,1.25,1.4,51155.00010414641
1980,1,19,2,-8,21,-3,2.1,39919.09695356806
1980,1,20,4,-10.5,3,-3.25,0.3,35587.90683203152
1980,1,21,5,-8,0,-1.5,0,35715.76049508046
1980,1,22,3,-7,0,-2,0,41691.8250859233
1980,1,23,5,-15,0,-5,0,29004.08585824079
1980,1,24,8,-15,0,-3.5,0,25900.338780936898
1980,1,25,9.5,-12,0,-1.25,0,26298.283542993126
1980,1,26,6.5,-10,0,-1.75,0,31833.081791881643
1980,1,27,7,-6,0,0.5,0,38573.62348848431
1980,1,28,4,-2.5,0,0.75,0,49246.3280789712
1980,1,29,3.5,-2,21,0.75,2.1,49246.3280789712
1980,1,30,6,-1,26,2.5,2.6,46773.28457113638
1980,1,31,7.5,-3,0,2.25,0,40812.82469758207
1980,2,1,9,-7.5,0,0.75,0,34093.61174698006
1980,2,2,10,-9.5,0,0.25,0,27495.711113904013
1980,2,3,14,-8.5,0,2.75,0,26256.10970053142
1980,2,4,14,-7,0,3.5,0,28008.565919180233
1980,2,5,12,-7.5,0,2.25,0,30609.618523186553
1980,2,6,12,-6.5,0,2.75,0,29538.123413097845
1980,2,7,6.5,-6,0,0.25,0,39279.58730557716
1980,2,8,2,-6,0,-2,0,46324.250095470336
1980,2,9,3.5,-9,0,-2.75,0,39181.79433457344
1980,2,10,7,-13.5,0,-3.25,0,25419.933451451085
1980,2,11,10,-14.5,0,-2.25,0,23595.17654255298
1980,2,12,8.5,-12,0,-1.75,0,27285.4986787557
1980,2,13,6,-9.5,6,-1.75,0.6,31833.081791881643
1980,2,14,5.5,-3,38,1.25,3.8,43847.142946411215
1980,2,15,4,-1,30,1.5,3,50243.22109307473
1980,2,16,7.5,-2.5,2,2.5,0.2,43432.33567319807
1980,2,17,7,-2,7,2.5,0.7,43432.33567319807
1980,2,18,7.5,0,14,3.75,1.4,45864.241168088956
1980,2,19,7.5,1,20,4.25,2,47230.19267813733
1980,2,20,5.5,-2,31,1.75,3.1,45824.581987272235
1980,2,21,4,-1.5,14,1.25,1.4,51155.00010414641
1980,2,22,8.5,-3,3,2.75,0.3,39384.164550797126
1980,2,23,8,-6,0,1,0,37203.77918510911
1980,2,24,7.5,-6.5,0,0.5,0,34716.26113963588
1980,2,25,9.5,-7.5,0,1,0,33483.40126659819
1980,2,26,11.5,-8,0,1.75,0,28199.742761398295
1980,2,27,15,-7,0,4,0,27038.085455496814
1980,2,28,14,-6,0,4,0,30042.317172774237
1980,2,29,13,-5.5,0,3.75,0,30576.16077872597
1980,3,1,9,-7,0,1,0,33483.40126659819
1980,3,2,11.5,-0.5,0,5.5,0,40574.98186622817
1980,3,3,7,-1,9,3,0.9,45139.32580286506
